study_hours,attendance_rate,assignment_completion,internet_use,motivation,family_support,stress_level,part_time_hours,analytic_score
7.49080237694725,84.90808570098726,59.25664644193098,5.190817851362181,4,1,4,2.1078643621561044,5.942198634449048
19.01428612819832,76.80481831720601,77.0950473689179,4.79181877629731,3,4,1,15.288814561510087,10.0
14.639878836228101,65.47638081431639,93.64729179382041,0.2564206580643569,4,3,4,8.193421067519854,8.537767317650317
11.973169683940732,90.68975098534743,86.61124432047805,3.4124782762615635,2,5,3,13.10347429048676,7.98553733311318
3.1203728088487304,84.23655862769397,90.32805739307248,3.8019561878585706,2,2,4,5.204731959704587,4.8264127331198585
3.119890406724053,58.130846967244565,82.93916833553587,3.988227808969005,1,4,3,3.1898452508271657,4.648882376701589
1.1616722433639892,95.54635922469213,84.61382822589263,5.801723692273323,5,2,2,3.2092522854245287,8.1794129870892
17.323522915498703,91.12686214615846,92.45978257826596,5.336025467268785,4,4,1,1.409838912862893,10.0
12.022300234864176,97.4899956645962,62.483400442959294,6.079050927934446,1,3,4,3.7129340980248604,8.116759834680833
14.161451555920909,86.28597541941801,74.47124818215703,7.6488326154212825,5,3,3,13.284387699779366,9.611555772684902
0.41168988591604894,80.6707597967895,61.06047209098011,8.129857387160936,4,3,5,17.63381223687016,4.738056902203155
19.398197043239886,70.91215181453094,99.38340039983234,7.181230762264944,3,3,1,16.282513711823235,10.0
16.648852816008436,96.63642416770065,97.20296698433066,9.555236959549347,4,1,2,13.702686197489681,10.0
4.246782213565523,93.30319447502042,51.9713405684253,0.1823258267636163,2,1,3,2.2086372682220534,4.348881840993118
3.6364993441420124,52.26093350530947,85.27875862578442,1.957779856835461,2,5,2,5.783748925918997,6.160548292886689
3.6680901970686763,51.3183487248626,96.26241587078329,0.0756287497814212,3,2,2,6.1961375064493796,5.436512028239228
6.0848448591907545,68.82316834390248,59.02876725636668,6.47474714154603,1,4,4,4.9991389279524245,4.9440034696103545
10.495128632644757,90.52766653909165,78.39726152763147,8.98030548949987,5,4,4,10.300113194194463,9.307471531771757
8.638900372842315,99.36380646574722,95.77441487940209,2.4348229657629927,4,1,3,10.71107629759345,8.630983536983754
5.824582803960839,57.52084455517641,51.69729892928994,9.270345447963066,2,4,5,7.137719503422204,5.05478783829689
12.23705789444759,79.70653576760675,84.871013362342,0.6026739028956085,1,1,3,7.07578317472872,6.102995037483746
2.7898772130408367,69.04454283155107,64.86745036862754,9.344360268055143,3,5,5,16.571111958121627,4.569688383064667
5.842892970704363,98.49571989073016,96.21980976882652,3.516226872396344,2,2,2,15.785856966393712,6.955023010409974
7.327236865873834,92.10594615678544,98.55291225826838,1.0142082844921652,3,5,1,6.155916633614913,9.057593466611202
9.12139968434072,91.91643523555689,97.2133244556717,4.858717591863257,4,3,3,18.275768877465186,8.601703130122498
15.703519227860273,73.43465798974852,73.71071083287319,2.567765677205079,5,3,3,19.05630034005012,8.37598294418807
3.9934756431671947,70.74097511688326,93.10213254946567,2.8487290196192285,2,3,5,6.534850840600816,4.2546409487737415
10.284688768272233,63.670353596535314,92.22746992675351,3.0728996492628657,2,5,2,7.088498975861097,8.552136814258368
11.84829137724085,52.81877483254635,65.95502366216279,8.030258978326634,4,4,2,10.112683068439177,8.728799130330232
0.9290082543999545,93.23611881275266,91.44577370753387,5.391612766752544,1,2,5,18.82241625067347,3.8229919918936073
12.150897038028766,90.64505045650388,51.85038173577463,3.1130769915600363,5,3,2,17.52638866284623,8.347728157877514
3.4104824737458306,99.98588366430653,79.81349392410266,6.103337833109183,2,3,4,2.051359251671796,5.765739228410576
1.3010318597055903,99.83184185369527,61.50044186438515,7.161506742231936,5,3,1,7.854614865428324,8.36927131787278
18.977710745066666,77.77158528013138,56.02834428886394,2.7262400073353374,2,2,3,11.067423794995436,8.836583768814222
19.312640661491187,88.44937075902553,53.84766008146046,4.135491015253515,5,3,1,10.0626494510308,10.0
16.16794696232922,97.23828649412141,84.81443879390699,1.2188609333694755,3,2,3,3.8772613587378535,8.843761888757719
6.092275383467413,92.48236953387058,66.9937481884033,1.8114934953468032,2,3,4,17.176335423363092,5.205450988661342
1.9534422801276774,62.36740508715988,86.23833857643808,6.811178539649828,5,5,2,13.538815659936747,6.8886523384556195
13.684660530243137,72.52720676550467,53.26781703994712,1.8143834769562694,1,5,5,16.758167497036073,5.595779209645678
8.803049874792027,56.45797075757475,65.76451689153052,5.251633836670601,3,2,4,17.175285586989443,4.75050191035975
2.4407646968955765,97.70255136293612,76.97456461876686,7.090462617224327,3,5,1,14.967117073314796,7.407232491403824
9.903538202225404,80.308731722544,89.53615824194819,1.0687692309474384,1,2,5,8.784212024994346,4.866188617600226
0.6877704223043679,61.43214027517314,65.9376251466035,5.673122196289036,5,5,2,12.210935100308491,5.942724329872217
